Census Tract,Label (Grouping),Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"Census Tract 20.09, Durham County, North Carolina",    Estimate,"4,890","4,041",121,"3,888",0,0,0,0,32,0,32,849,219,17,21,0,0,592,0,0,0
"Census Tract 20.09, Durham County, North Carolina",    Margin of Error,±559,±375,±130,±424,±98,±98,±98,±98,±48,±98,±48,±461,±171,±22,±34,±98,±98,±498,±98,±98,±98
,"Census Tract 20.13, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.13, Durham County, North Carolina",    Estimate,"4,470","4,169","2,500","1,286",0,118,0,22,243,0,243,301,36,0,0,33,0,214,18,18,0
"Census Tract 20.13, Durham County, North Carolina",    Margin of Error,±336,±336,±226,±254,±98,±90,±98,±29,±160,±98,±160,±152,±43,±98,±98,±49,±98,±132,±28,±28,±98
,"Census Tract 20.15, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.15, Durham County, North Carolina",    Estimate,"5,357","3,728","1,648","1,874",0,114,0,26,66,0,66,"1,629",392,0,0,0,0,"1,153",84,84,0
"Census Tract 20.15, Durham County, North Carolina",    Margin of Error,±614,±614,±214,±627,±98,±91,±98,±45,±71,±98,±71,±476,±241,±98,±98,±98,±98,±443,±141,±141,±98
,"Census Tract 20.16, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.16, Durham County, North Carolina",    Estimate,"5,538","3,289","1,443","1,304",0,346,0,0,196,157,39,"2,249","1,142",89,0,0,0,"1,018",0,0,0
"Census Tract 20.16, Durham County, North Carolina",    Margin of Error,±583,±452,±369,±317,±98,±123,±98,±98,±250,±248,±51,±563,±493,±83,±98,±98,±98,±512,±98,±98,±98
,"Census Tract 20.17, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.17, Durham County, North Carolina",    Estimate,"6,596","6,314","5,251",370,0,498,0,0,195,0,195,282,183,0,0,0,0,99,0,0,0
"Census Tract 20.17, Durham County, North Carolina",    Margin of Error,±371,±379,±393,±144,±98,±141,±98,±98,±136,±98,±136,±160,±104,±98,±98,±98,±98,±118,±98,±98,±98
,"Census Tract 20.18, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.18, Durham County, North Carolina",    Estimate,"7,627","7,272","5,671",982,8,437,0,0,174,0,174,355,97,34,0,0,0,224,0,0,0
"Census Tract 20.18, Durham County, North Carolina",    Margin of Error,±395,±398,±422,±259,±13,±201,±98,±98,±116,±98,±116,±339,±95,±44,±98,±98,±98,±326,±98,±98,±98
,"Census Tract 20.19, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.19, Durham County, North Carolina",    Estimate,"4,644","4,347","3,278",543,0,397,0,15,114,0,114,297,151,0,35,0,0,95,16,16,0
"Census Tract 20.19, Durham County, North Carolina",    Margin of Error,±359,±338,±362,±219,±98,±147,±98,±24,±96,±98,±96,±244,±159,±98,±57,±98,±98,±121,±26,±26,±98
,"Census Tract 20.20, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 20.20, Durham County, North Carolina",    Estimate,"5,401","5,085","3,221","1,223",0,560,0,0,81,0,81,316,169,82,0,0,0,65,0,0,0
"Census Tract 20.20, Durham County, North Carolina",    Margin of Error,±252,±319,±387,±229,±98,±179,±98,±98,±77,±98,±77,±234,±125,±129,±98,±98,±98,±106,±98,±98,±98
,"Census Tract 20.21, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
