CensusTract,ValueType,Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races,Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races
Census Tract 18.06,Estimate,7635,6079,2599,3017,15,16,0,0,432,0,432,1556,122,0,0,0,0,1148,286,176,110
Census Tract 18.06,Margin of Error,±1133,±1275,±666,±990,±29,±27,±19,±19,±283,±19,±283,±800,±149,±19,±19,±19,±19,±694,±280,±235,±153
Census Tract 18.08,Estimate,11034,10292,4444,5066,50,582,0,14,136,0,136,742,74,38,0,0,0,551,79,67,12
Census Tract 18.08,Margin of Error,±1072,±1108,±625,±1117,±61,±219,±21,±21,±75,±21,±75,±216,±78,±43,±21,±21,±21,±236,±96,±93,±21
Census Tract 18.09,Estimate,6938,6047,3110,2336,0,373,0,0,228,0,228,891,120,0,0,0,0,399,372,372,0
Census Tract 18.09,Margin of Error,±961,±853,±625,±696,±19,±232,±19,±19,±164,±19,±164,±373,±199,±19,±19,±19,±19,±361,±226,±226,±19
Census Tract 18.10,Estimate,3994,2591,423,1846,8,32,78,1,203,0,203,1403,647,0,0,0,0,645,111,111,0
Census Tract 18.10,Margin of Error,±911,±927,±181,±878,±29,±52,±87,±6,±214,±13,±214,±452,±485,±13,±13,±13,±13,±446,±228,±228,±13
Census Tract 18.11,Estimate,6252,5308,1860,3355,0,0,2,0,91,0,91,944,175,0,0,0,0,501,268,268,0
Census Tract 18.11,Margin of Error,±684,±814,±649,±879,±19,±19,±5,±19,±102,±19,±102,±410,±250,±19,±19,±19,±19,±423,±208,±208,±19
Census Tract 19,Estimate,5611,5080,4134,590,0,288,0,0,68,0,68,531,345,0,7,0,0,113,66,45,21
Census Tract 19,Margin of Error,±627,±527,±477,±189,±19,±150,±19,±19,±54,±19,±54,±329,±359,±19,±10,±19,±19,±136,±82,±58,±32
Census Tract 20.07,Estimate,5184,4802,2957,1753,0,56,0,14,22,0,22,382,88,0,0,0,0,165,129,129,0
Census Tract 20.07,Margin of Error,±530,±588,±371,±449,±19,±95,±19,±26,±37,±19,±37,±306,±132,±19,±19,±19,±19,±241,±155,±155,±19
Census Tract 20.08,Estimate,3784,3669,3197,221,11,103,0,17,120,0,120,115,35,0,0,0,0,0,80,80,0
Census Tract 20.08,Margin of Error,±902,±907,±920,±133,±17,±102,±13,±24,±76,±13,±76,±92,±46,±13,±13,±13,±13,±13,±76,±76,±13
Census Tract 20.09,Estimate,5039,4114,104,3810,0,32,0,0,168,33,135,925,699,66,0,0,0,90,70,70,0
Census Tract 20.09,Margin of Error,±813,±724,±91,±694,±19,±60,±19,±19,±163,±56,±146,±453,±451,±66,±19,±19,±19,±168,±117,±117,±19
Census Tract 20.13,Estimate,4771,4421,2716,1303,10,153,0,31,208,8,200,350,269,0,0,0,0,74,7,7,0
